Ex-Div. Date,Amount,Type,Yield,Change,Decl. Date,Rec. Date,Pay. Date,Details
10/5/2021,$1.00 ,Quarter,2.40%,11.10%,9/21/2021,10/6/2021,10/31/2021,Details
1/5/2021,$0.90 ,Quarter,2.90%,N/A,12/8/2020,1/6/2021,1/31/2021,Details
10/5/2020,$0.90 ,Quarter,3.60%,N/A,9/15/2020,10/6/2020,10/31/2020,Details
7/2/2020,$0.90 ,Quarter,3.90%,N/A,5/18/2020,7/6/2020,7/31/2020,Details
4/3/2020,$0.90 ,Quarter,4.30%,N/A,3/17/2020,4/6/2020,4/30/2020,Details
1/3/2020,$0.90 ,Quarter,2.60%,N/A,12/10/2019,1/6/2020,1/31/2020,Details
10/3/2019,$0.90 ,Quarter,3.20%,12.50%,9/17/2019,10/4/2019,10/31/2019,Details
7/3/2019,$0.80 ,Quarter,2.80%,N/A,5/22/2019,7/5/2019,7/31/2019,Details
4/4/2019,$0.80 ,Quarter,3%,N/A,3/19/2019,4/5/2019,4/30/2019,Details
10/4/2018,$0.80 ,Quarter,2.80%,42.90%,9/18/2018,10/5/2018,10/31/2018,Details
7/5/2018,$0.56 ,Quarter,2.20%,N/A,5/15/2018,7/6/2018,7/31/2018,Details
1/4/2018,$0.56 ,Quarter,2.10%,N/A,12/12/2017,1/5/2018,1/31/2018,Details
10/5/2017,$0.56 ,Quarter,2.30%,12%,9/19/2017,10/6/2017,10/31/2017,Details
7/3/2017,$0.50 ,Quarter,2.20%,N/A,5/16/2017,7/6/2017,7/31/2017,Details
4/4/2017,$0.50 ,Quarter,2.30%,4.20%,3/21/2017,4/6/2017,4/30/2017,Details
1/4/2017,$0.48 ,Quarter,2.20%,N/A,12/13/2016,1/6/2017,1/31/2017,Details
10/4/2016,$0.48 ,Quarter,2.90%,N/A,9/20/2016,10/6/2016,10/31/2016,Details
7/1/2016,$0.48 ,Quarter,3.10%,9.10%,5/17/2016,7/6/2016,7/31/2016,Details
4/4/2016,$0.44 ,Quarter,3%,N/A,3/15/2016,4/6/2016,4/30/2016,Details
10/2/2015,$0.44 ,Quarter,2.90%,N/A,9/15/2015,10/6/2015,10/31/2015,Details
7/1/2015,$0.44 ,Quarter,2.60%,N/A,5/19/2015,7/6/2015,7/31/2015,Details
4/1/2015,$0.40 ,Quarter,2.70%,N/A,3/17/2015,4/6/2015,4/30/2015,Details
1/2/2015,$0.40 ,Quarter,2.60%,N/A,12/9/2014,1/6/2015,1/31/2015,Details
10/2/2014,$0.40 ,Quarter,2.70%,N/A,9/16/2014,10/6/2014,10/31/2014,Details
7/1/2014,$0.40 ,Quarter,2.80%,N/A,5/20/2014,7/3/2014,7/31/2014,Details
4/2/2014,$0.38 ,Quarter,2.50%,N/A,3/18/2014,4/4/2014,4/30/2014,Details
1/2/2014,$0.38 ,Quarter,2.60%,N/A,12/10/2013,1/6/2014,1/31/2014,Details
10/2/2013,$0.38 ,Quarter,2.90%,N/A,9/17/2013,10/4/2013,10/31/2013,Details
7/2/2013,$0.38 ,Quarter,2.90%,N/A,5/21/2013,7/5/2013,7/31/2013,Details
4/3/2013,$0.30 ,Quarter,2.60%,N/A,3/19/2013,4/5/2013,4/30/2013,Details
1/2/2013,$0.30 ,Quarter,2.70%,N/A,12/11/2012,1/4/2013,1/31/2013,Details
10/3/2012,$0.30 ,Quarter,2.90%,N/A,9/18/2012,10/5/2012,10/31/2012,Details
7/3/2012,$0.30 ,Quarter,3.30%,N/A,5/15/2012,7/6/2012,7/31/2012,Detail
