Ex-Div. Date,Amount,Type,Yield,Change,Decl. Date,Rec. Date,Pay. Date,Details
9/14/2021,$0.90 ,Quarter,7.40%,4.70%,8/26/2021,9/15/2021,10/12/2021,Details
3/24/2021,$0.86 ,Quarter,6.90%,N/A,2/26/2021,3/25/2021,4/30/2021,Details
12/24/2020,$0.86 ,Quarter,8.20%,N/A,12/16/2020,12/28/2020,1/11/2021,Details
9/14/2020,$0.86 ,Quarter,8%,2.40%,7/28/2020,9/15/2020,10/9/2020,Details
6/12/2020,$0.84 ,Quarter,8.60%,N/A,5/14/2020,6/15/2020,7/10/2020,Details
3/24/2020,$0.84 ,Quarter,10.40%,N/A,2/27/2020,3/25/2020,4/30/2020,Details
12/24/2019,$0.84 ,Quarter,6.70%,N/A,12/11/2019,12/26/2019,1/10/2020,Details
9/13/2019,$0.84 ,Quarter,8%,5%,8/22/2019,9/16/2019,10/10/2019,Details
3/22/2019,$0.80 ,Quarter,5.70%,N/A,2/28/2019,3/25/2019,4/30/2019,Details
12/24/2018,$0.80 ,Quarter,6.70%,N/A,12/12/2018,12/26/2018,1/10/2019,Details
9/13/2018,$0.80 ,Quarter,5.20%,14.30%,8/23/2018,9/14/2018,10/10/2018,Details
6/14/2018,$0.70 ,Quarter,4.90%,N/A,5/17/2018,6/15/2018,7/10/2018,Details
3/14/2018,$0.70 ,Quarter,4.40%,6.10%,3/1/2018,3/15/2018,4/10/2018,Details
12/20/2017,$0.66 ,Quarter,3.60%,N/A,12/6/2017,12/21/2017,1/10/2018,Details
9/14/2017,$0.66 ,Quarter,4.20%,8.20%,8/24/2017,9/15/2017,10/10/2017,Details
6/13/2017,$0.61 ,Quarter,3.30%,N/A,5/18/2017,6/15/2017,7/10/2017,Details
3/13/2017,$0.61 ,Quarter,3.20%,N/A,3/1/2017,3/15/2017,4/10/2017,Details
12/20/2016,$0.61 ,Quarter,3.60%,N/A,12/7/2016,12/22/2016,1/10/2017,Details
9/13/2016,$0.61 ,Quarter,3.80%,8%,8/25/2016,9/15/2016,10/11/2016,Details
6/13/2016,$0.57 ,Quarter,3.50%,N/A,5/19/2016,6/15/2016,7/11/2016,Details
3/11/2016,$0.57 ,Quarter,3.60%,N/A,2/25/2016,3/15/2016,4/11/2016,Details
12/22/2015,$0.57 ,Quarter,3.90%,N/A,12/9/2015,12/24/2015,1/11/2016,Details
9/11/2015,$0.57 ,Quarter,4.30%,8.70%,8/21/2015,9/15/2015,10/9/2015,Details
3/12/2015,$0.52 ,Quarter,4%,N/A,2/25/2015,3/16/2015,4/10/2015,Details
12/22/2014,$0.52 ,Quarter,4.10%,N/A,12/10/2014,12/24/2014,1/9/2015,Details
9/11/2014,$0.52 ,Quarter,4.80%,8.30%,8/21/2014,9/15/2014,10/10/2014,Details
3/12/2014,$0.48 ,Quarter,5.30%,N/A,2/26/2014,3/14/2014,4/10/2014,Details
12/19/2013,$0.48 ,Quarter,5%,N/A,12/11/2013,12/23/2013,1/10/2014,Details
9/10/2013,$0.48 ,Quarter,5.50%,9.10%,8/23/2013,9/12/2013,10/10/2013,Details
3/13/2013,$0.44 ,Quarter,5.20%,N/A,2/27/2013,3/15/2013,4/10/2013,Details
12/21/2012,$0.44 ,Quarter,5.50%,N/A,12/12/2012,12/26/2012,1/10/2013,Details
9/12/2012,$0.44 ,Quarter,5.30%,7.30%,8/24/2012,9/14/2012,10/10/2012,Details
3/13/2012,$0.41 ,Quarter,5.40%,N/A,3/1/2012,3/15/2012,4/10/2012,Details
